LAD23CD,LAD23NM,CED23CD,CED23NM,CON,LAB,LD,GREEN,Right,Left,Total
E07000177,Cherwell,E58001225,Banbury Calthorpe,1316,887,171,366,1316,1058,2740
E07000177,Cherwell,E58001226,Banbury Grimsbury & Castle,820,1239,142,217,820,1381,2418
E07000177,Cherwell,E58001728,Banbury Hardwick,1200,1089,112,206,1200,1201,2607
E07000177,Cherwell,E58001729,Banbury Ruscote,797,1171,133,0,797,1304,2101
E07000177,Cherwell,E58001232,Bicester North,1339,508,333,349,1339,841,2529
E07000177,Cherwell,E58001233,Bicester Town,1399,495,0,653,1399,495,2547
E07000177,Cherwell,E58001234,Bicester West,706,430,240,0,706,670,1376
E07000177,Cherwell,E58001731,Bloxham & Easington,1744,563,376,347,1744,939,3030
E07000177,Cherwell,E58001733,Deddington,2221,710,1078,0,2221,1788,4009
E07000177,Cherwell,E58001259,Kidlington South,1284,421,0,1570,1284,421,3275
E07000177,Cherwell,E58001261,Kirtlington & Kidlington North,1909,498,1650,0,1909,2148,4057
E07000177,Cherwell,E58001763,Otmoor,1553,401,1673,0,1553,2074,3627
E07000177,Cherwell,E58001764,Ploughley,1991,439,255,363,1991,694,3048
E07000177,Cherwell,E58001747,Wroxton & Hook Norton,2499,949,540,0,2499,1489,3988
E07000178,Oxford,E58001229,Barton/ Sandhills & Risinghurst,441,1234,401,306,441,1635,2382
E07000178,Oxford,E58001241,Churchill & Lye Valley,458,1521,180,319,458,1701,2478
E07000178,Oxford,E58001242,Cowley,372,1903,121,604,372,2024,3000
E07000178,Oxford,E58001252,Headington & Quarry,419,1420,1784,294,419,3204,3917
E07000178,Oxford,E58001255,Iffley Fields & St. Marys,175,1568,111,1373,175,1679,3227
E07000178,Oxford,E58001256,Isis,343,1671,372,734,343,2043,3120
E07000178,Oxford,E58001257,Jericho & Osney,280,1760,382,583,280,2142,3005
E07000178,Oxford,E58001262,Leys,355,1205,104,178,355,1309,1842
E07000178,Oxford,E58001263,Marston & Northway,707,1430,245,899,707,1675,3281
E07000178,Oxford,E58001267,Rose Hill & Littlemore,516,1537,158,385,516,1695,2596
E07000178,Oxford,E58001270,St. Clements & Cowley Marsh,178,1002,179,640,178,1181,1999
E07000178,Oxford,E58001271,St. Margarets,565,1220,1312,497,565,2532,3594
E07000178,Oxford,E58001274,University Parks,145,728,269,459,145,997,1601
E07000178,Oxford,E58001280,Wolvercote & Summertown,604,688,1853,548,604,2541,3693
E07000179,South Oxfordshire,E58001730,Benson & Cholsey,1519,577,1499,0,1519,2076,3595
E07000179,South Oxfordshire,E58001231,Berinsfield & Garsington,1205,262,0,1915,1205,262,3382
E07000179,South Oxfordshire,E58001732,Chalgrove & Watlington,1611,282,2174,0,1611,2456,4067
E07000179,South Oxfordshire,E58001734,Didcot East & Hagbourne,1243,877,338,285,1243,1215,2743
E07000179,South Oxfordshire,E58001735,Didcot Ladygrove,802,452,845,0,802,1297,2099
E07000179,South Oxfordshire,E58001736,Didcot West,1812,1402,498,0,1812,1900,3712
E07000179,South Oxfordshire,E58001737,Goring,1773,575,1653,0,1773,2228,4001
E07000179,South Oxfordshire,E58001755,Henley-On-Thames,949,328,0,0,949,328,1277
E07000179,South Oxfordshire,E58001756,Sonning Common,1938,286,0,1010,1938,286,3234
E07000179,South Oxfordshire,E58001273,Thame & Chinnor,2836,721,2781,2482,2836,3502,8820
E07000179,South Oxfordshire,E58001745,Wallingford,1183,290,0,2111,1183,290,3584
E07000179,South Oxfordshire,E58001746,Wheatley,1088,313,2151,0,1088,2464,3552
E07000180,Vale Of White Horse,E58001765,Abingdon East,961,250,1604,281,961,1854,3096
E07000180,Vale Of White Horse,E58001766,Abingdon North,1234,323,1978,276,1234,2301,3811
E07000180,Vale Of White Horse,E58001224,Abingdon South,1146,303,1769,0,1146,2072,3218
E07000180,Vale Of White Horse,E58001248,Faringdon,1129,282,1761,0,1129,2043,3172
E07000180,Vale Of White Horse,E58001767,Grove & Wantage,1941,534,3062,588,1941,3596,6125
E07000180,Vale Of White Horse,E58001768,Hendreds & Harwell,1792,476,1964,0,1792,2440,4232
E07000180,Vale Of White Horse,E58001769,Kennington & Radley,1215,188,1892,247,1215,2080,3542
E07000180,Vale Of White Horse,E58001740,Kingston & Cumnor,2189,395,1766,0,2189,2161,4350
E07000180,Vale Of White Horse,E58001264,North Hinksey,861,405,2008,292,861,2413,3566
E07000180,Vale Of White Horse,E58001268,Shrivenham,1944,289,0,1491,1944,289,3724
E07000180,Vale Of White Horse,E58001770,Sutton Courtenay & Marcham,1439,409,1756,0,1439,2165,3604
E07000181,West Oxfordshire,E58001236,Burford & Carterton North,1404,0,338,488,1404,338,2230
E07000181,West Oxfordshire,E58001237,Carterton South & West,1558,265,182,170,1558,447,2175
E07000181,West Oxfordshire,E58001239,Charlbury & Wychwood,1490,328,1900,299,1490,2228,4017
E07000181,West Oxfordshire,E58001240,Chipping Norton,1468,1528,201,390,1468,1729,3587
E07000181,West Oxfordshire,E58001247,Eynsham,1808,331,2115,0,1808,2446,4254
E07000181,West Oxfordshire,E58001251,Hanborough & Minster Lovell,2059,405,1035,428,2059,1440,3927
E07000181,West Oxfordshire,E58001277,Witney North & East,1216,1606,0,943,1216,1606,3765
E07000181,West Oxfordshire,E58001278,Witney South & Central,1297,1415,206,235,1297,1621,3153
E07000181,West Oxfordshire,E58001279,Witney West & Brampton,2042,758,349,387,2042,1107,3536
E07000181,West Oxfordshire,E58001281,Woodstock,1802,417,1970,0,1802,2387,4189
