Edu,Age,NS-SeC,Econ,Observation
No_edu,16_24,L1_L3,,1839
No_edu,16_24,L1_L3,,5
No_edu,16_24,L1_L3,,14
No_edu,16_24,L1_L3,,348
No_edu,16_24,L4_L6,,6696
No_edu,16_24,L4_L6,,13
No_edu,16_24,L4_L6,,65
No_edu,16_24,L4_L6,,1566
No_edu,16_24,L7,,8407
No_edu,16_24,L7,,17
No_edu,16_24,L7,,68
No_edu,16_24,L7,,2450
No_edu,16_24,L8_L9,,15222
No_edu,16_24,L8_L9,,52
No_edu,16_24,L8_L9,,74
No_edu,16_24,L8_L9,,3780
No_edu,16_24,L10_L11,,8409
No_edu,16_24,L10_L11,,17
No_edu,16_24,L10_L11,,63
No_edu,16_24,L10_L11,,2278
No_edu,16_24,L12,,22199
No_edu,16_24,L12,,44
No_edu,16_24,L12,,201
No_edu,16_24,L12,,9868
No_edu,16_24,L13,,41457
No_edu,16_24,L13,,111
No_edu,16_24,L13,,374
No_edu,16_24,L13,,19215
No_edu,16_24,L14,,0
No_edu,16_24,L14,,429
No_edu,16_24,L14,,4123
No_edu,16_24,L14,,115618
No_edu,25_34,L1_L3,,10013
No_edu,25_34,L1_L3,,10
No_edu,25_34,L1_L3,,68
No_edu,25_34,L1_L3,,1519
No_edu,25_34,L4_L6,,30315
No_edu,25_34,L4_L6,,38
No_edu,25_34,L4_L6,,76
No_edu,25_34,L4_L6,,6560
No_edu,25_34,L7,,22054
No_edu,25_34,L7,,52
No_edu,25_34,L7,,91
No_edu,25_34,L7,,7140
No_edu,25_34,L8_L9,,63708
No_edu,25_34,L8_L9,,95
No_edu,25_34,L8_L9,,167
No_edu,25_34,L8_L9,,14570
No_edu,25_34,L10_L11,,29212
No_edu,25_34,L10_L11,,44
No_edu,25_34,L10_L11,,87
No_edu,25_34,L10_L11,,7475
No_edu,25_34,L12,,57692
No_edu,25_34,L12,,105
No_edu,25_34,L12,,193
No_edu,25_34,L12,,29240
No_edu,25_34,L13,,113437
No_edu,25_34,L13,,235
No_edu,25_34,L13,,441
No_edu,25_34,L13,,48432
No_edu,25_34,L14,,0
No_edu,25_34,L14,,745
No_edu,25_34,L14,,2404
