Edu,Age,NS-SeC,Sex,Observation
No_edu,16_24,L1_L3,Female,730
No_edu,16_24,L1_L3,Male,1476
No_edu,16_24,L4_L6,Female,3448
No_edu,16_24,L4_L6,Male,4894
No_edu,16_24,L7,Female,5696
No_edu,16_24,L7,Male,5245
No_edu,16_24,L8_L9,Female,4181
No_edu,16_24,L8_L9,Male,14947
No_edu,16_24,L10_L11,Female,2644
No_edu,16_24,L10_L11,Male,8124
No_edu,16_24,L12,Female,18159
No_edu,16_24,L12,Male,14153
No_edu,16_24,L13,Female,24132
No_edu,16_24,L13,Male,37025
No_edu,16_24,L14,Female,50118
No_edu,16_24,L14,Male,70053
No_edu,16_24,Students,Female,183746
No_edu,16_24,Students,Male,213462
No_edu,25_34,L1_L3,Female,4074
No_edu,25_34,L1_L3,Male,7536
No_edu,25_34,L4_L6,Female,16400
No_edu,25_34,L4_L6,Male,20591
No_edu,25_34,L7,Female,18455
No_edu,25_34,L7,Male,10880
No_edu,25_34,L8_L9,Female,17623
No_edu,25_34,L8_L9,Male,60917
No_edu,25_34,L10_L11,Female,9986
No_edu,25_34,L10_L11,Male,26835
No_edu,25_34,L12,Female,51732
No_edu,25_34,L12,Male,35498
No_edu,25_34,L13,Female,68817
No_edu,25_34,L13,Male,93728
No_edu,25_34,L14,Female,115025
No_edu,25_34,L14,Male,92952
No_edu,25_34,Students,Female,8412
No_edu,25_34,Students,Male,7203
No_edu,35_49,L1_L3,Female,7332
No_edu,35_49,L1_L3,Male,16819
No_edu,35_49,L4_L6,Female,27964
No_edu,35_49,L4_L6,Male,40753
No_edu,35_49,L7,Female,33642
No_edu,35_49,L7,Male,17461
No_edu,35_49,L8_L9,Female,37808
No_edu,35_49,L8_L9,Male,143493
No_edu,35_49,L10_L11,Female,18482
No_edu,35_49,L10_L11,Male,57422
No_edu,35_49,L12,Female,96659
No_edu,35_49,L12,Male,67022
No_edu,35_49,L13,Female,134413
No_edu,35_49,L13,Male,177641
No_edu,35_49,L14,Female,204286
No_edu,35_49,L14,Male,127393
No_edu,35_49,Students,Female,6571
No_edu,35_49,Students,Male,4703
No_edu,50_64,L1_L3,Female,11385
No_edu,50_64,L1_L3,Male,24691
No_edu,50_64,L4_L6,Female,50126
No_edu,50_64,L4_L6,Male,58900
No_edu,50_64,L7,Female,78198
No_edu,50_64,L7,Male,27472
No_edu,50_64,L8_L9,Female,60487
No_edu,50_64,L8_L9,Male,201943
No_edu,50_64,L10_L11,Female,28682
No_edu,50_64,L10_L11,Male,79714
No_edu,50_64,L12,Female,194714
No_edu,50_64,L12,Male,105659
No_edu,50_64,L13,Female,236548
No_edu,50_64,L13,Male,293189
No_edu,50_64,L14,Female,244924
No_edu,50_64,L14,Male,161044
No_edu,50_64,Students,Female,3255
No_edu,50_64,Students,Male,2609
No_edu,65+,L1_L3,Female,28100
No_edu,65+,L1_L3,Male,54166
No_edu,65+,L4_L6,Female,158319
No_edu,65+,L4_L6,Male,117867
No_edu,65+,L7,Female,344107
No_edu,65+,L7,Male,62352
No_edu,65+,L8_L9,Female,128923
No_edu,65+,L8_L9,Male,252015
No_edu,65+,L10_L11,Female,76836
No_edu,65+,L10_L11,Male,138084
No_edu,65+,L12,Female,547033
No_edu,65+,L12,Male,158482
No_edu,65+,L13,Female,533739
No_edu,65+,L13,Male,370154
No_edu,65+,L14,Female,631427
No_edu,65+,L14,Male,299029
No_edu,65+,Students,Female,3279
No_edu,65+,Students,Male,1576
Level_1,16_24,L1_L3,Female,1020
Level_1,16_24,L1_L3,Male,2581
Level_1,16_24,L4_L6,Female,6339
Level_1,16_24,L4_L6,Male,9111
Level_1,16_24,L7,Female,13473
Level_1,16_24,L7,Male,11143
Level_1,16_24,L8_L9,Female,3183
Level_1,16_24,L8_L9,Male,18594
Level_1,16_24,L10_L11,Female,3191
Level_1,16_24,L10_L11,Male,15652
Level_1,16_24,L12,Female,35105
Level_1,16_24,L12,Male,29215
Level_1,16_24,L13,Female,29853
Level_1,16_24,L13,Male,57130
Level_1,16_24,L14,Female,36975
Level_1,16_24,L14,Male,53860
Level_1,16_24,Students,Female,89557
Level_1,16_24,Students,Male,126242
Level_1,25_34,L1_L3,Female,4475
Level_1,25_34,L1_L3,Male,9486
Level_1,25_34,L4_L6,Female,20880
Level_1,25_34,L4_L6,Male,28887
Level_1,25_34,L7,Female,28541
Level_1,25_34,L7,Male,17552
Level_1,25_34,L8_L9,Female,11657
Level_1,25_34,L8_L9,Male,48817
Level_1,25_34,L10_L11,Female,8518
Level_1,25_34,L10_L11,Male,28265
Level_1,25_34,L12,Female,61629
Level_1,25_34,L12,Male,42639
Level_1,25_34,L13,Female,50465
Level_1,25_34,L13,Male,82976
Level_1,25_34,L14,Female,52513
Level_1,25_34,L14,Male,39784
Level_1,25_34,Students,Female,5502
Level_1,25_34,Students,Male,3791
Level_1,35_49,L1_L3,Female,15703
Level_1,35_49,L1_L3,Male,33340
Level_1,35_49,L4_L6,Female,53426
Level_1,35_49,L4_L6,Male,68164
Level_1,35_49,L7,Female,77057
Level_1,35_49,L7,Male,31504
Level_1,35_49,L8_L9,Female,34496
Level_1,35_49,L8_L9,Male,102312
Level_1,35_49,L10_L11,Female,17309
Level_1,35_49,L10_L11,Male,51748
Level_1,35_49,L12,Female,105230
Level_1,35_49,L12,Male,61377
Level_1,35_49,L13,Female,93749
Level_1,35_49,L13,Male,134978
Level_1,35_49,L14,Female,68811
Level_1,35_49,L14,Male,35705
Level_1,35_49,Students,Female,5126
Level_1,35_49,Students,Male,2811
Level_1,50_64,L1_L3,Female,31014
Level_1,50_64,L1_L3,Male,46681
Level_1,50_64,L4_L6,Female,108785
Level_1,50_64,L4_L6,Male,86393
Level_1,50_64,L7,Female,193115
Level_1,50_64,L7,Male,42623
Level_1,50_64,L8_L9,Female,64774
Level_1,50_64,L8_L9,Male,126915
Level_1,50_64,L10_L11,Female,26169
Level_1,50_64,L10_L11,Male,57589
Level_1,50_64,L12,Female,188814
Level_1,50_64,L12,Male,72315
Level_1,50_64,L13,Female,132034
Level_1,50_64,L13,Male,170317
Level_1,50_64,L14,Female,55414
Level_1,50_64,L14,Male,33201
Level_1,50_64,Students,Female,1843
Level_1,50_64,Students,Male,1225
Level_1,65+,L1_L3,Female,18847
Level_1,65+,L1_L3,Male,32993
Level_1,65+,L4_L6,Female,94217
Level_1,65+,L4_L6,Male,54894
Level_1,65+,L7,Female,194877
Level_1,65+,L7,Male,27715
Level_1,65+,L8_L9,Female,44406
Level_1,65+,L8_L9,Male,53194
Level_1,65+,L10_L11,Female,18533
Level_1,65+,L10_L11,Male,23057
Level_1,65+,L12,Female,130388
Level_1,65+,L12,Male,29179
Level_1,65+,L13,Female,70623
Level_1,65+,L13,Male,52990
Level_1,65+,L14,Female,61327
Level_1,65+,L14,Male,27444
Level_1,65+,Students,Female,598
Level_1,65+,Students,Male,252
Level_2,16_24,L1_L3,Female,3964
Level_2,16_24,L1_L3,Male,8178
Level_2,16_24,L4_L6,Female,20922
Level_2,16_24,L4_L6,Male,25853
Level_2,16_24,L7,Female,40033
Level_2,16_24,L7,Male,28010
Level_2,16_24,L8_L9,Female,6103
Level_2,16_24,L8_L9,Male,24459
Level_2,16_24,L10_L11,Female,7520
Level_2,16_24,L10_L11,Male,31714
Level_2,16_24,L12,Female,65819
Level_2,16_24,L12,Male,48044
Level_2,16_24,L13,Female,42578
Level_2,16_24,L13,Male,70177
Level_2,16_24,L14,Female,33069
Level_2,16_24,L14,Male,43972
Level_2,16_24,Students,Female,485959
Level_2,16_24,Students,Male,457296
Level_2,25_34,L1_L3,Female,18910
Level_2,25_34,L1_L3,Male,30646
Level_2,25_34,L4_L6,Female,64965
Level_2,25_34,L4_L6,Male,74075
Level_2,25_34,L7,Female,82997
Level_2,25_34,L7,Male,40343
Level_2,25_34,L8_L9,Female,22470
Level_2,25_34,L8_L9,Male,71500
Level_2,25_34,L10_L11,Female,16752
Level_2,25_34,L10_L11,Male,47472
Level_2,25_34,L12,Female,102901
Level_2,25_34,L12,Male,59463
Level_2,25_34,L13,Female,56695
Level_2,25_34,L13,Male,88790
Level_2,25_34,L14,Female,36743
Level_2,25_34,L14,Male,27833
Level_2,25_34,Students,Female,10134
Level_2,25_34,Students,Male,6837
Level_2,35_49,L1_L3,Female,46063
Level_2,35_49,L1_L3,Male,74292
Level_2,35_49,L4_L6,Female,124167
Level_2,35_49,L4_L6,Male,123099
Level_2,35_49,L7,Female,168491
Level_2,35_49,L7,Male,53899
Level_2,35_49,L8_L9,Female,58715
Level_2,35_49,L8_L9,Male,124483
Level_2,35_49,L10_L11,Female,27485
Level_2,35_49,L10_L11,Male,65804
Level_2,35_49,L12,Female,149168
Level_2,35_49,L12,Male,67726
Level_2,35_49,L13,Female,86032
Level_2,35_49,L13,Male,116284
Level_2,35_49,L14,Female,44991
Level_2,35_49,L14,Male,27102
Level_2,35_49,Students,Female,6922
Level_2,35_49,Students,Male,3841
Level_2,50_64,L1_L3,Female,59512
Level_2,50_64,L1_L3,Male,75265
Level_2,50_64,L4_L6,Female,174274
Level_2,50_64,L4_L6,Male,113958
Level_2,50_64,L7,Female,263114
Level_2,50_64,L7,Male,51783
Level_2,50_64,L8_L9,Female,85658
Level_2,50_64,L8_L9,Male,122045
Level_2,50_64,L10_L11,Female,33913
Level_2,50_64,L10_L11,Male,57018
