PCON24CD,PCON24NM,Region
E14001580,Westmorland and Lonsdale,North West
E14001398,North Shropshire,West Midlands
E14001603,Yeovil,South West
E14001363,Mid Dorset and North Poole,South West
E14001511,St Ives,South West
E14001385,North Cornwall,South West
E14001168,Chippenham,South West
E14001219,Eastbourne,South East
E14001540,Taunton and Wellington,South West
E14001330,Lewes,South East
E14001572,Wells and Mendip Hills,South West
E14001387,North Devon,South West
E14001575,West Dorset,South West
E14001080,Bath,South West
E14001166,Chichester,South East
E14001277,Hazel Grove,North West
E14001161,Cheltenham,South West
E14001241,Frome and East Somerset,South West
E14001532,Surrey Heath,South East
E14001507,St Albans,East of England
E14001247,Glastonbury and Somerton,South West
E14001542,Tewkesbury,South West
E14001220,Eastleigh,South East
E14001142,Burnley,North West
E14001291,Honiton and Sidmouth,South West
E14001545,Thornbury and Yate,South West
E14001592,Woking,South East
E14001432,Portsmouth South,South East
E14001294,Horsham,South East
E14001158,Cheadle,North West
E14001587,Winchester,South East
E14001376,Newbury,South East
E14001591,Witney,South East
E14001090,Bicester and Woodstock,South East
E14001484,South Devon,South West
E14001366,Mid Sussex,South East
E14001420,Oxford West and Abingdon,South East
E14001482,South Cotswolds,South West
E14001269,Harrogate and Knaresborough,Yorkshire and the Humber
E14001159,Chelmsford,East of England
E14001555,Tunbridge Wells,South East
E14001548,Tiverton and Minehead,South West
E14001201,Dorking and Horley,South East
E14001356,Melksham and Devizes,South West
E14001348,Maidenhead,South East
E14001381,Newton Abbot,South West
E14001551,Torbay,South West
E14001526,Stratford-on-Avon,West Midlands
E14001396,North Norfolk,East of England
E14001224,Ely and East Cambridgeshire,East of England
E14001197,Didcot and Wantage,South East
E14001100,Birmingham Yardley,West Midlands
E14001512,St Neots and Mid Cambridgeshire,East of England
E14001258,Guildford,South East
E14001313,Kingston upon Hull East,Yorkshire and the Humber
E14001388,North Dorset,South West
E14001263,Hamble Valley,South East
